$Price/Unit,% 1-Bed,% 2-Bed,% 3-Bed,% Studios,Affordable Type,Amenities,Anchor GLA,Anchor Tenants,Architect Name,Ask Rent/SF,Ask Rent/Unit,Average Weighted Rent,Avg Concessions %,Avg Rent-Direct (Industrial),Avg Rent-Direct (Office),Avg Rent-Direct (Retail),Avg Rent-Sublet (Industrial),Avg Rent-Sublet (Office),Avg Rent-Sublet (Retail),Avg Unit Size,Building Address,Building Class,Building Location,Building Name,Building Operating Expenses,Building Park,Building Status,Building Tax Expenses,Cap Rate,Ceiling Height Range,City,Closest Transit Stop,Closest Transit Stop Dist (mi),Closest Transit Stop Walk Time (min),Column Spacing,Construction Material,Core Factor,County Name,Cross Street,Days On Market,Developer Name,Direct Available Space,Direct Services,Direct Vacant Space,Drive Ins,Effective Rent/SF,Effective Rent/Unit,Energy Star,Exp Year,Features,For Sale Price,For Sale Status,Gas,Heating,LEED Certified,Land Area (AC),Last Sale Date,Last Sale Price,Latitude,Leasing Company Address,Leasing Company City State Zip,Leasing Company Contact,Leasing Company Fax,Leasing Company Name,Leasing Company Phone,Longitude,Market Name,Market Segment,Max Building Contiguous Space,Max Floor Contiguous Space,Number Of 1 Bedrooms,Number Of 2 Bedrooms,Number Of 3 Bedrooms,Number Of Cranes,Number Of Elevators,Number Of Loading Docks,Number Of Other Bedrooms,Number Of Parking Spaces,Number Of Stories,Number Of Studios,Number Of Units,Office Space,One Bedroom Mix,One Bedroom Rent High,One Bedroom Rent Low,Ops Expense,Ops Expense Per SF,Other Bedroom Rent High,Other Bedroom Rent Low,Other Mix,Owner Address,Owner City State Zip,Owner Contact,Owner Name,Owner Phone,Parcel Number 1(Min),Parcel Number 2(Max),Parking Ratio,Parking Spaces/Unit,Percent Leased,Power,Primary Agent Name,Property Manager Address,Property Manager City State Zip,Property Manager Contact,Property Manager Name,Property Manager Phone,PropertyID,PropertyType,Rail Lines,Rent Type,Rentable Building Area,Secondary Type,Serial,Services,Sewer,Smallest Available Space,Sprinklers,Star Rating,State,Style,Sublet Available Space,Sublet Services,Sublet Vacant Space,Submarket Cluster,Submarket Name,Tax Year,Taxes Per SF,Taxes Total,Three Bedroom Mix,Three Bedroom Rent High,Three Bedroom Rent Low,Total Available Space (SF),Total Buildings,Total New Space (SF),Total Relet Space (SF),Total Sublet Space (SF),Total Vacant Avail Relet Space (SF),Total Vacant Avail Sublet Space (SF),Total Vacant Available,Two Bedroom Mix,Two Bedroom Rent High,Two Bedroom Rent Low,Typical Floor Size,Vacancy %,Water,Year Built,Year Renovated,Zip,Zoning
,,,,,,,,,,,,-,,-,-,-,-,-,-,,5139 Quinn Rd,B,,,2012 Tax @ $5.36/sf,,Existing,2012 Tax @ $5.36/sf,,,Vacaville,,,,,,,Solano,,,,,,,,,,,,,,N,,,,10.09,,,38.3955375,5139 Quinn Rd Suite # B,"Vacaville, CA  956889402",,,Western Home Supply,7074516500,-121.9255334,North Bay/Santa Rosa,,,,,,,,0,,,,1,,,,,,,,,,,,,,,Neil Walter E & Sally A,,0133-050-010,0133-050-010,,,100,,,,,,,,336922,Flex,,,3200,,SO0427,,,,,3 Star,CA,,,,,Solano County Ind,Vacaville Ind,2012,5.36,17139,,,,,,,,,,,0,,,,3200,,,1982,,956889402,
,,,,,,,,,,,,-,,-,-,-,-,-,-,,427 Executive Court North,B,,,2008 Tax @ $5.54/sf,Fairfield Corporate Commons-West,Existing,2008 Tax @ $5.54/sf,,14'0in,Fairfield,,,,,Reinforced Concrete,,Solano,,,,,,,None,,,,,,,N,Natural,,,4.83,,,38.230372,360 Campus Ln Suite # 101,"Fairfield, CA  94534",,7078630181,Colliers International,7078630188,-122.122258,North Bay/Santa Rosa,,,,,,,,0,,,48,1,,,,,,,,,,,,4080 Mallard Dr,"Concord, CA  945201245",,Garaventa Enterprises,9256898390,0027-360-150,0027-360-150,8,,100,1200a/120-208v 3p,,4080 Mallard Dr,"Concord, CA  945201245",Bob Hammon,Garaventa Enterprises,9256898390,337063,Flex,,,13824,,SO7779,,City,,,3 Star,CA,,,,,Solano County Ind,Fairfield Ind,2008,5.54,76570.56,,,,,,,,,,,0,,,,13824,,City,1983,,945344019,
,,,,,,,,,,,,-,,-,-,-,-,-,-,,435 Executive Court North,B,,,2009 Tax @ $7.59/sf,Fairfield Corp Commons,Existing,2009 Tax @ $7.59/sf,,14'0in,Fairfield,,,,,Reinforced Concrete,,Solano,,,,,,,None,,,,,,,N,Natural,Yes,,4.83,,,38.230719,360 Campus Ln Suite # 101,"Fairfield, CA  94534",,7078630181,Colliers International,7078630188,-122.121691,North Bay/Santa Rosa,,,,,,,,0,,,78,1,,,,,,,,,,,,4080 Mallard Dr,"Concord, CA  945201245",,Garaventa Enterprises,9256898390,0027-360-150,0027-360-150,5,,100,1200a/120-208v 3p,,4080 Mallard Dr,"Concord, CA  945201245",Bob Hammon,Garaventa Enterprises,9256898390,336980,Flex,,,19620,,SO2447,,City,,,3 Star,CA,,,,,Solano County Ind,Fairfield Ind,2009,7.59,148972.44,,,,,,,,,,,0,,,,19620,,City,1983,,945344019,
,,,,,,,,,,,,9,,9,-,-,-,-,-,,469 Lopes Rd,B,,Bldg A,2014 Tax @ $0.34/sf,,Existing,2014 Tax @ $0.34/sf,,16'0in-17'0in,Fairfield,,,,,,,Solano,,,,6000,,6000,2,,,,,,,N,,,,1.3,11/16/2007 12:00,"711,000.00",38.2066756,477 Devlin Rd Suite # 104,"Napa, CA  945587511",Mike Miller,7072525375,"Keegan & Coppin Company, Inc.",7072521400,-122.1390208,North Bay/Santa Rosa,,6000,6000,,,,,0,,,10,1,,,,,,,,,,,,,,,Brian & Carole Speirs,,0180-130-230,0180-130-230,,,76,200a/120-208v,Mike Miller,469 Lopes Rd,"Fairfield, CA  945341623",,G T Boats,7078641924,361270,Flex,,,25000,R&D,SO9931,,,6000,Yes,2 Star,CA,,0,,0,Solano County Ind,Fairfield Ind,2014,0.34,8513.5,,,,6000,,,6000,0,6000,0,6000,,,,25000,,,1983,,945341623,"PD, County"
,,,,,,,,,,,,-,,-,-,-,-,-,-,,5045 Fulton Dr,B,,,2014 Tax @ $0.59/sf,Fairfield Industrial Park,Existing,2014 Tax @ $0.59/sf,,16'0in-18'0in,Suisun City,,,,,,,Solano,,,,,,,6/12'0inw x 14'0inh,,,,,,,N,,,,1.82,,,38.20658,360 Campus Ln Suite # 101,"Fairfield, CA  94534",,7078630181,Colliers International,7078630188,-122.1431842,North Bay/Santa Rosa,,,,,,,,0,4,,,1,,,,,,,,,,,,4479 Deer Ridge Rd,"Danville, CA  94506",,Michael G & Maria S Vrionis,,0180-130-050,0180-130-050,2,,100,100a/120-208v,,,,,,,336470,Flex,,,32000,,SO0157,,,,Wet,2 Star,CA,,,,,Solano County Ind,Fairfield Ind,2014,0.59,18761.22,,,,,,,,,,,0,,,,32000,,,1984,,945341635,
,,,,,,Fenced Lot,,,,,,11.16,,11.16,11.16,-,-,-,-,,395 Industrial Way,C,,,2013 Tax @ $0.49/sf,,Existing,2013 Tax @ $0.49/sf,,16'0in-20'0in,Dixon,,,,,Masonry,,Solano,,,,7200,Modified Gross,7200,5/12'0inw x 14'0inh,,,,,Fenced Lot,,N,,,,1.5,,,38.459447,2250 Douglas Blvd Suite # 200,"Roseville, CA  956614207",Jeff Post,9166778199,TRI Commercial / CORFAC International,9166778000,-121.817331,North Bay/Santa Rosa,,4000,4000,,,,,0,,,15,,,,,,,,,,,,,1022 Po Box,"Dixon, CA  956201022",,Ashley R & Judy M Jeffery,7074485255,0115-130-270,0115-130-270,2.67,,66.04,,Jeff Post,,,,,,5504016,Flex,,,21200,R&D,A6ARPA,Direct - Modified Gross,,3200,,3 Star,CA,,0,,0,Solano County Ind,Vacaville Ind,2013,0.49,10432.14,,,,7200,,,7200,0,7200,0,7200,,,,,,,1984,,956209777,ML
,,,,,,Signage,,,,,,12,,12,12,-,-,-,-,,100 Corporate Pl,C,,,"2014 Tax @ $1.89/sf; 2013 Ops @ $1.92/sf, 2012 Est Ops @ $1.92/sf",,Existing,"2014 Tax @ $1.89/sf; 2013 Ops @ $1.92/sf, 2012 Est Ops @ $1.92/sf",,18'0in-20'0in,Vallejo,,,,,Wood Frame,,Solano,,294,,6178,Modified Gross,0,3/12'0inw x 14'0inh,,,,,Signage,1849000,Y,,,,1.55,11/12/2004 12:00,"1,399,500.00",38.0953553,4158 Summer Gate Ave,"Vallejo, CA  94591",David Caldwell,,Caldwell Realty and Property Management,7075674711,-122.2484328,North Bay/Santa Rosa,,4220,4220,,,,,0,,,47,1,,,,,,,,,,,,4158 Summer Gate Ave,"Vallejo, CA  94591",David Caldwell,Caldwell Realty and Property Management,7075674711,0058-071-190,0058-071-190,2.64,,100,,David Caldwell,P.O.Box 502,"Napa, CA  945590502",Chuck Fox,Walter Fox,7072556255,37061,Flex,,,17813,R&D,SO4133,Direct - Modified Gross,,1958,Yes,3 Star,CA,,0,,0,Solano County Ind,Vallejo Ind,2014,1.89,33615.04,,,,6178,,,6178,0,0,0,0,,,,17800,,,1984,,945906966,
,,,,,,,,,,,,Withheld,,Withheld,Withheld,-,-,-,-,,2333 Courage Dr,B,,,2014 Tax @ $0.77/sf,Solano Business Park,Existing,2014 Tax @ $0.77/sf,,16'0in-18'0in,Fairfield,,,,,Reinforced Concrete,,Solano,,148,,41972,Modified Gross,41972,3/10'0inw x 12'0inh,,,,,,,Y,,Gas,,3.67,,,38.234675,360 Campus Ln Suite # 101,"Fairfield, CA  94534",Chris Petrini,7078630181,Colliers International,7078630188,-122.07412,North Bay/Santa Rosa,,17828,17828,,,,,0,1,,48,1,,,17828,,,,,,,,,2333 Courage Dr,"Fairfield, CA  945336748",Sayed Inamdar,Sayed & Razia Inamdar Revocable Living Trust,5102068158,0028-771-090,0028-771-250,3.3,,1.64,1000a 3p 3w,Chris Petrini,,,,,,336380,Flex,,,42670,,SO0066,Direct - Modified Gross,City,1500,Yes,2 Star,CA,,0,,0,Solano County Ind,Fairfield Ind,2014,0.77,32716.42,,,,41972,,,41972,0,41972,0,41972,,,,42670,,City,1985,,945336748,
,,,,,,,,,,,,-,,-,-,-,-,-,-,,1021 Mason St,C,,,2013 Tax @ $0.76/sf; 2013 Ops @ $0.60/sf,,Existing,2013 Tax @ $0.76/sf; 2013 Ops @ $0.60/sf,,14'0in,Vacaville,,,,,Masonry,,Solano,,,,,,,15,,,,2013,,,N,,Yes,,4.13,,,38.355361,1434 3rd St Suite # E,"Napa, CA  945592860",Ed Ramirez,7072510224,Skip Keyser Realty,7072510225,-121.97857,North Bay/Santa Rosa,,,,,,,,0,,,20,1,,,,,,,19125,0.6,,,,1434 3rd St,"Napa, CA  945592891",,Williams Richard D,,0130-250-230,0130-250-230,,,100,,Ed Ramirez,,,,,,336573,Flex,,,31875,,SO0260,,,,Wet,2 Star,CA,,,,,Solano County Ind,Vacaville Ind,2013,0.76,24280.16,,,,,,,,,,,0,,,,31875,,,1985,,956884614,
,,,,,,"Fenced Lot, Skylights",,,,,,-,,-,-,-,-,-,-,,3890 Industrial Way,C,,,2014 Tax @ $0.99/sf,,Existing,2014 Tax @ $0.99/sf,,16'0in-18'0in,Benicia,,,,,,,Solano,,,,,,,2,,,,,"Fenced Lot, Skylights",,N,,,,0.51,11/9/2001 12:00,"570,000.00",38.068912,360 Campus Ln Suite # 101,"Fairfield, CA  94534",Chris Petrini,7078630181,Colliers International,7078630188,-122.121,North Bay/Santa Rosa,,,,,,,,0,,,10,1,,,,,,,,,,,,,,,Primex,,0080-090-460,0080-090-460,1.19,,100,400a/120-208v,Chris Petrini,,,,,,100519,Flex,,,8400,,SO7105,,,,Yes,3 Star,CA,,,,,Solano County Ind,Benicia Ind,2014,0.99,8306.58,,,,,,,,,,,0,,,,8400,,,1985,,945101200,"IG, Benecia"
,,,,,,,,,,,,8.52,,8.52,8.52,-,-,-,-,,4740 E 2nd St,C,,,,Benicia Business Plaza,Existing,,,18'0in,Benicia,,,,,Masonry,,Solano,,,,2107,Modified Gross,2107,14,,,,,,,N,,,,0.1,11/2/2007 12:00,"316,050.00",38.0800999,900 1st St,"Benicia, CA  945103218",Richard Bortolazzo,,Coldwell Banker,7077456000,-122.1286065,North Bay/Santa Rosa,,2107,2107,,,,,0,,,,2,,,,,,,,,,,,,,,,,0095-491-220,0095-491-380,2,,93.73,600a/120-240v,Richard Bortolazzo,,,,,,337044,Flex,,,33600,Light Manufacturing,SO6769,Direct - Modified Gross,,2107,,3 Star,CA,,0,,0,Solano County Ind,Benicia Ind,,,,,,,2107,,,2107,0,2107,0,2107,,,,31520,,,1986,,945101054,"LI, City of Benicia"
,,,,,,,,,,,,-,,-,-,-,-,-,-,,1032 Alabama St,C,,,2011 Tax @ $1.04/sf,,Existing,2011 Tax @ $1.04/sf,,,Vallejo,,,,,Masonry,,Solano,,,,,,,1/10'0inw x 10'0inh,,,,,,,N,,,,0.1607,9/28/2011 12:00,"338,000.00",38.1092357,,,,,,,-122.2475748,North Bay/Santa Rosa,,,,,,,,0,,,10,2,,,,,,,,,,,,1032 Alabama St,"Vallejo, CA  94590",,Casa De Oracion Church Of God,,0056-091-290,0056-091-290,3.24,,100,,,,,,,,6004746,Flex,,,3082,,A1ED1A,,,,,2 Star,CA,,,,,Solano County Ind,Vallejo Ind,2011,1.04,3209.36,,,,,,,,,,,0,,,,3326,,,1986,,94590,
,,,,,,,,,,,,17.4,,Withheld,17.4,-,-,-,-,,3333 Vaca Valley Pky,B,,Bldg A,2009 Tax @ $1.60/sf,Parkway Plaza Corporate Office Park,Existing,2009 Tax @ $1.60/sf,,16'0in-18'0in,Vacaville,,,,,Masonry,,Solano,,,,25210,Triple Net,25210,None,,,,,,,N,,,,5.22,1/18/2001 12:00,"5,250,000.00",38.39115,360 Campus Ln Suite # 101,"Fairfield, CA  94534",Chris Petrini,7078630181,Colliers International,7078630188,-121.939496,North Bay/Santa Rosa,,25210,25210,,,,,0,,,200,1,,,10523,,,,,,,,,333 Gellert Blvd Suite # 226,"Daly City, CA  94015",,Woodlawn Foundation,,0133-180-180,0133-180-180,4.8,,51.58,,Chris Petrini,,,,,,37038,Flex,,,52060,R&D,SO3361,Direct - Triple Net,,1175,Yes,2 Star,CA,,0,,0,Solano County Ind,Vacaville Ind,2009,1.6,83404.44,,,,25210,,,25210,0,25210,0,25210,,,,52060,,,1987,,956889421,"N/Av, Vacaville"
,,,,,,,,,,,,-,,-,-,-,-,-,-,,150 W Industrial Way,B,,,2013 Tax @ $0.87/sf,,Existing,2013 Tax @ $0.87/sf,,18'0in,Benicia,,,,,,,Solano,,,,,,,4,,,,,,,N,,,,2.96,2/10/2009 12:00,,38.0831,,,,,,,-122.136484,North Bay/Santa Rosa,,,,,,,,0,2,,31,1,,,,,,,,,,,,150 W Industrial Way,"Benicia, CA  945101016",Daniel McIntyre,Daniel P McIntyre,,0080-020-250,0080-020-250,1.19,,100,800a/277-480v,,,,,,,1293477,Flex,,,26000,,432281,,,,Yes,2 Star,CA,,,,,Solano County Ind,Benicia Ind,2013,0.87,22638.5,,,,,,,,,,,0,,,,26000,,,1987,,94510,
,,,,,,,,,,,,-,,-,-,-,-,-,-,,299 Campus Ct,B,,Fairfield Corp Commons,2013 Tax @ $1.31/sf,Fairfield Corp Commons,Existing,2013 Tax @ $1.31/sf,,,Fairfield,,,,,Masonry,,Solano,,,,,,,Yes,,,,,,,N,,,,1.74,12/23/2011 12:00,"1,500,000.00",38.228875,1000 4th St Suite # 350,"San Rafael, CA  94901",Chris Neeb,4154511730,"Cushman & Wakefield, Inc.",4154514700,-122.127321,North Bay/Santa Rosa,,,,,,,,0,,,126,1,,,,,,,,,,,,P.O.Box 5397,"Concord, CA  94524",,Garaventa Properties,9256724153,0027-340-050,0027-340-050,7.8,,100,,Chris Neeb,,,,,,780463,Flex,,,16811,,SO6770,,,,None,3 Star,CA,,,,,Solano County Ind,Fairfield Ind,2013,1.31,22039.76,,,,,,,,,,,0,,,,16811,,,1988,1992,945344011,"COMM-OFF, Fairfield"
,,,,,,,,,,,,-,,-,-,-,-,-,-,,320 Campus Ln,B,,,2008 Tax @ $2.83/sf,Fairfield Corporate Commons,Existing,2008 Tax @ $2.83/sf,,,Fairfield,,,,,Reinforced Concrete,,Solano,,,,,,,None,,,,,,,N,,,,5.89,,,38.230779,360 Campus Ln Suite # 101,"Fairfield, CA  94534",,7078630181,Colliers International,7078630188,-122.124599,North Bay/Santa Rosa,,,,,,,,0,,,60,1,,,,,,,,,,,,4080 Mallard Dr,"Concord, CA  945201245",,88/12,,0027-360-090,0027-360-090,2.76,,100,1600a/120-208v,,,,,,,6501266,Flex,,,21732,,AXFNQA,,,,,2 Star,CA,,,,,Solano County Ind,Fairfield Ind,2008,2.83,61498.98,,,,,,,,,,,0,,,,21732,,,1988,,94534,
,,,,,,,,,,,,-,,-,-,-,-,-,-,,324 Campus Ln,B,,,2008 Tax @ $1.68/sf,Fairfield Corporate Commons-West,Existing,2008 Tax @ $1.68/sf,,12'0in-14'0in,Fairfield,,,,,Reinforced Concrete,,Solano,,,,,Industrial Gross,,2/10'0inw x 12'0inh,,,,,,,N,,,,5.89,,,38.231141,360 Campus Ln Suite # 101,"Fairfield, CA  94534",,7078630181,Colliers International,7078630188,-122.125158,North Bay/Santa Rosa,,,,,,,,0,,,110,1,,,,,,,,,,,,4080 Mallard Dr,"Concord, CA  945201245",,Garaventa Enterprises,9256898390,0027-360-090,0027-360-090,8,,100,1200a/120-208v 3p,,4080 Mallard Dr,"Concord, CA  945201245",Bob Hammon,Garaventa Enterprises,9256898390,336370,Flex,,,36646,,SO0056,Direct - Industrial Gross,,,Yes,2 Star,CA,,,,,Solano County Ind,Fairfield Ind,2008,1.68,61498.98,,,,,,,,,,,0,,,,36646,,,1988,,945341454,
,,,,,,,,,,,,Withheld,,Withheld,Withheld,-,-,-,-,,1735 Enterprise Dr,B,,Bldg 1,,Meridian Corporate Park,Existing,,,8'0in-8'6in,Fairfield,,,,,Masonry,,Solano,,,Fairfield Partners,3380,,3380,6/10'0inw x 12'0inh,,,,,,,N,,,,1,8/12/2014 12:00,,38.2425729,360 Campus Ln Suite # 101,"Fairfield, CA  94534",Eric Dakin,7078630181,Colliers International,7078630188,-122.0604135,North Bay/Santa Rosa,,3380,1690,,,,,0,,,80,2,,,,,,,,,,,,,,Frederic Newton,Newton Fredric,,0031-310-040,0095-683-030,4,,93.02,,Eric Dakin,981 Howard St,"San Francisco, CA  941034108",Barbara Bionki,Trico Construction,4158509522,86075,Flex,,,48440,,SO0359,,,1690,,2 Star,CA,,0,,0,Solano County Ind,Fairfield Ind,,,,,,,3380,,,3380,0,3380,0,3380,,,,24220,,,1988,,945336822,CS
,,,,,,Fenced Lot,,,,,,-,,-,-,-,-,-,-,,28 Union Way,C,Leisure Town & Elmira,,2014 Tax @ $1.90/sf,Maris Industrial Park,Existing,2014 Tax @ $1.90/sf,,,Vacaville,,,,,Wood Frame,,Solano,,,,,,,1/10'0inw x 12'0inh,,,,,Fenced Lot,,N,,,,1.68,11/29/2012 12:00,,38.3520375,360 Campus Ln Suite # 101,"Fairfield, CA  94534",Jon Quick,7078630181,Colliers International,7078630188,-121.934989,North Bay/Santa Rosa,,,,,,,,0,,,12,1,,,,,,,,,,,,10510 Old Redwood Hwy,"Windsor, CA  95492",Steve Plamann,Aaction Rents Windsor,7078377645,0135-351-650,0135-351-650,3,,100,,Jon Quick,,,,,,336739,Flex,,,4000,,SO02GN,,,,,2 Star,CA,,,,,Solano County Ind,Vacaville Ind,2014,1.9,7608.3,,,,,,,,,,,0,,,,4000,,,1988,,956874104,"N/Av, Vacaville"
,,,,,,,,,,,,-,,-,-,-,-,-,-,,104 Commerce Ct,B,,,2014 Tax @ $0.94/sf; 2010 Ops @ $1.08/sf,Cordelia Junction,Existing,2014 Tax @ $0.94/sf; 2010 Ops @ $1.08/sf,,16'0in,Fairfield,,,,,Masonry,,Solano,,,,,,,3,,,,,,,N,,,,1.2,,,38.2187085,50 Crestview Dr,"Orinda, CA  945633920",Richard Schwab,,Schwab Real Estate Investments,9252546869,-122.1327398,North Bay/Santa Rosa,,,,,,,,0,,,33,1,,,,,,,,,,,,50 Crestview Dr,"Orinda, CA  945633920",Robert Schwab,Schwab Real Estate Investments,9252546869,0044-090-150,0044-090-150,2,,100,,Richard Schwab,50 Crestview Dr,"Orinda, CA  945633920",Richard Schwab,Schwab Real Estate Investments,9252546869,336625,Flex,,,16400,Light Distribution,SO02CF,,,,,2 Star,CA,,,,,Solano County Ind,Fairfield Ind,2014,0.94,15388.38,,,,,,,,,,,0,,,,16400,,,1989,,945341781,"SC, Fairfield"
,,,,,,,,,,,,8.76,,8.4,8.76,-,-,-,-,,110 Railroad Ave,B,,,2014 Tax @ $0.59/sf,Suisun Commerce Center,Existing,2014 Tax @ $0.59/sf,,16'0in-18'0in,Suisun City,,,,,Reinforced Concrete,,Solano,,,,8367,Industrial Gross,8367,4/12'0inw x 14'0inh,,,,,,,N,,,,1.32,12/11/2001 12:00,"1,420,000.00",38.250325,411 Davis St Suite # 102,"Vacaville, CA  95688",Traci Perry,7074698009,Spectrum Properties,7074698000,-122.03072,North Bay/Santa Rosa,,4618,4618,,,,,0,,,48,2,,,3749,,,,,,,,,25 Serena Ln,"Danville, CA  94526",,Ronald D & Martha M Cordes,,0032-420-250,0032-420-250,1.51,,73.76,100a/108-120v,Traci Perry,,,,,,36932,Flex,,,31883,R&D,SO0073,Direct - Industrial Gross,,1575,Yes,2 Star,CA,,0,,0,Solano County Ind,Fairfield Ind,2014,0.59,18882.7,,,,8367,,,8367,0,8367,0,8367,,,,15941,,,1990,,945851791,"C-S, Suisun City"
,,,,,,,,,,,,-,,-,-,-,-,-,-,,140 W Industrial Way,B,,,2014 Tax @ $1.26/sf,,Existing,2014 Tax @ $1.26/sf,,,Benicia,,,,,,,Solano,,,,,,,,,,,,,,N,,,,0.81,8/26/1999 12:00,"420,000.00",38.082493,360 Campus Ln Suite # 101,"Fairfield, CA  94534",Bret DeMartini,7078630181,Colliers International,7078630188,-122.135944,North Bay/Santa Rosa,,,,,,,,0,,,20,1,,,,,,,,,,,,,,,"C. Duane Ericson Company, Inc.",,0080-020-030,0080-020-030,3.95,,100,,Bret DeMartini,,,,,,336914,Flex,,,5063,,SO0419,,,,,3 Star,CA,,,,,Solano County Ind,Benicia Ind,2014,1.26,6367.84,,,,,,,,,,,0,,,,5063,,,1990,,945101016,"IG, Benicia"
,,,,,,,,,,,,-,,-,-,-,-,-,-,,800 Chadbourne Rd,C,,,2014 Tax @ $0.22/sf,,Existing,2014 Tax @ $0.22/sf,,18'0in,Fairfield,,,,,Reinforced Concrete,,Solano,,,,,,,2/12'0inw x 14'0inh,,,,,,,N,,,,10.23,,,38.229334,1111 Broadway Suite # 1600,"Oakland, CA  946074139",Glen Dowling,5108344119,"Cushman & Wakefield, Inc.",5107634900,-122.083174,North Bay/Santa Rosa,,,,,,,,0,,,185,1,,,,,,,,,,,,1 Front St,"San Francisco, CA  94111",,Northern Calif Carpenters Atf,,0028-230-130,0028-230-130,4,,100,,Glen Dowling,,,,,,336371,Flex,,,45000,R&D,SO0057,,,,Yes,3 Star,CA,,,,,Solano County Ind,Fairfield Ind,2014,0.22,9834.24,,,,,,,,,,,0,,,,48990,,,1991,,945349703,
,,,,,,,,,,,,-,,-,-,-,-,-,-,,2850 Cordelia Rd,B,,Phase I,"2008 Tax @ $4.57/sf, 2011 Est Tax @ $1.06/sf; 2011 Est Ops @ $0.72/sf",Fairfield Business Center,Existing,"2008 Tax @ $4.57/sf, 2011 Est Tax @ $1.06/sf; 2011 Est Ops @ $0.72/sf",,12'0in-17'0in,Fairfield,,,,,Reinforced Concrete,,Solano,,,,,,,3/12'0inw x 14'0inh,,,,2011,,,N,,,,2.263,7/31/2008 12:00,"8,950,000.00",38.2284025,1000 4th St Suite # 350,"San Rafael, CA  94901",Matt Bracco,4154511730,"Cushman & Wakefield, Inc.",4154514700,-122.0864591,North Bay/Santa Rosa,,,,,,,,0,,,72,1,,,,,,,17424,0.72,,,,,,,Cordelia Industrial 1 Lp,,0028-220-310,0028-220-310,4,,100,1000a/277-480v 3p 3w,Matt Bracco,500 Washington St Suite # 450,"San Francisco, CA  941112919",Bob Mchugh,"Jaeger McHugh, LLC",4154333281,336500,Flex,,,24200,Light Manufacturing,SO0187,,,,,2 Star,CA,,,,,Solano County Ind,Fairfield Ind,2011,1.06,25689,,,,,,,,,,,0,,,,24200,,,1991,,945341618,"Il, Fairfield"
,,,,,,,,,,,,-,,-,-,-,-,-,-,,2860 Cordelia Rd,B,,Phase I,"2008 Tax @ $3.29/sf, 2011 Est Tax @ $1.06/sf; 2011 Est Ops @ $0.72/sf",Fairfield Business Center,Existing,"2008 Tax @ $3.29/sf, 2011 Est Tax @ $1.06/sf; 2011 Est Ops @ $0.72/sf",,17'0in-21'0in,Fairfield,,,,48'w x 33'd,Reinforced Concrete,,Solano,,,,,,,8/12'0inw x 14'0inh,,,,2011,,,N,,,,2.263,7/31/2008 12:00,"8,950,000.00",38.2291286,1000 4th St Suite # 350,"San Rafael, CA  94901",Matt Bracco,4154511730,"Cushman & Wakefield, Inc.",4154514700,-122.0860592,North Bay/Santa Rosa,,,,,,,,0,10,,48,1,,,,,,,24192,0.72,,,,500 Washington St Suite # 450,"San Francisco, CA  941112919",Robert McHugh,"McHugh Properties, Inc",4154333281,0028-220-310,0028-220-310,2,,100,1600a/277-480v 3p,Matt Bracco,5750 Imhoff Dr Suite # C,"Concord, CA  945205345",,Deutsche Asset & Wealth Management,9257980539,337076,Flex,,,33600,Light Manufacturing,SO8465,,City,,None,2 Star,CA,,,,,Solano County Ind,Fairfield Ind,2011,1.06,35667,,,,,,,,,,,0,,,,33600,,City,1991,,945341680,Il
,,,,,,,,,,,,-,,-,-,-,-,-,-,,2870 Cordelia Rd,B,,Phase I,"2008 Tax @ $2.70/sf, 2011 Est Tax @ $1.06/sf; 2011 Est Ops @ $0.72/sf",Fairfield Business Center,Existing,"2008 Tax @ $2.70/sf, 2011 Est Tax @ $1.06/sf; 2011 Est Ops @ $0.72/sf",,18'0in-23'0in,Fairfield,,,,48'w x 28-33'd,Reinforced Concrete,,Solano,,,,,,,5/10'0inw x 12'0inh,,,,2011,,,N,,,,2.263,7/31/2008 12:00,"8,950,000.00",38.2291325,1000 4th St Suite # 350,"San Rafael, CA  94901",Glen Dowling,4154511730,"Cushman & Wakefield, Inc.",4154514700,-122.0869076,North Bay/Santa Rosa,,,,,,,,0,6,,48,1,,,,,,,29520,0.72,,,,500 Washington St Suite # 450,"San Francisco, CA  941112919",Robert McHugh,"McHugh Properties, Inc",4154333281,0028-220-310,0028-220-310,1.5,,100,1000-1600a/277-480v,Glen Dowling,5750 Imhoff Dr Suite # C,"Concord, CA  945205345",,Deutsche Asset & Wealth Management,9257980539,337047,Flex,,,41000,Light Manufacturing,SO6892,,,,Yes,2 Star,CA,,,,,Solano County Ind,Fairfield Ind,2011,1.06,43522,,,,,,,,,,,0,,,,41000,,,1991,,945346839,Il
